,agency_cd,site_no,Dissolved_oxygen_mpl_Maximum,Dissolved_oxygen_mpl_Minimum,Dissolved_oxygen_mpl_Mean,Discharge_cfs_Maximum,Discharge_cfs_Minimum
1990-09-17,,,,,,,
1990-09-18,,,,,,,
1990-09-19,,,,,,,
1990-09-20,,,,,,,
1990-09-21,,,,,,,
1990-09-22,,,,,,,
1990-09-23,,,,,,,
1990-09-24,,,,,,,
1990-09-25,,,,,,,
1990-09-26,,,,,,,
1990-09-27,,,,,,,
1990-09-28,,,,,,,
1990-09-29,,,,,,,
1990-09-30,,,,,,,
1990-10-01,,,,,,,
1990-10-02,,,,,,,
1990-10-03,,,,,,,
1990-10-04,,,,,,,
1990-10-05,,,,,,,
1990-10-06,,,,,,,
1990-10-07,,,,,,,
1990-10-08,,,,,,,
1990-10-09,,,,,,,
1990-10-10,,,,,,,
1990-10-11,,,,,,,
1990-10-12,,,,,,,
1990-10-13,,,,,,,
1990-10-14,,,,,,,
1990-10-15,,,,,,,
1990-10-16,,,,,,,
1990-10-17,,,,,,,
1990-10-18,,,,,,,
1990-10-19,,,,,,,
1990-10-20,,,,,,,
1990-10-21,,,,,,,
1990-10-22,,,,,,,
1990-10-23,,,,,,,
1990-10-24,,,,,,,
1990-10-25,,,,,,,
1990-10-26,,,,,,,
1990-10-27,,,,,,,
1990-10-28,,,,,,,
1990-10-29,,,,,,,
1990-10-30,,,,,,,
1990-10-31,,,,,,,
1990-11-01,,,,,,,
1990-11-02,,,,,,,
1990-11-03,,,,,,,
1990-11-04,,,,,,,
1990-11-05,,,,,,,
1990-11-06,,,,,,,
1990-11-07,,,,,,,
1990-11-08,,,,,,,
1990-11-09,,,,,,,
1990-11-10,,,,,,,
1990-11-11,,,,,,,
1990-11-12,,,,,,,
1990-11-13,,,,,,,
1990-11-14,,,,,,,
1990-11-15,,,,,,,
1990-11-16,,,,,,,
1990-11-17,,,,,,,
1990-11-18,,,,,,,
1990-11-19,,,,,,,
1990-11-20,,,,,,,
1990-11-21,,,,,,,
1990-11-22,,,,,,,
1990-11-23,,,,,,,
1990-11-24,,,,,,,
1990-11-25,,,,,,,
1990-11-26,,,,,,,
1990-11-27,,,,,,,
1990-11-28,,,,,,,
1990-11-29,,,,,,,
1990-11-30,,,,,,,
1990-12-01,,,,,,,
1990-12-02,,,,,,,
1990-12-03,,,,,,,
1990-12-04,,,,,,,
1990-12-05,,,,,,,
1990-12-06,,,,,,,
1990-12-07,,,,,,,
1990-12-08,,,,,,,
1990-12-09,,,,,,,
1990-12-10,,,,,,,
1990-12-11,,,,,,,
1990-12-12,,,,,,,
1990-12-13,,,,,,,
1990-12-14,,,,,,,
1990-12-15,,,,,,,
1990-12-16,,,,,,,
1990-12-17,,,,,,,
1990-12-18,,,,,,,
1990-12-19,,,,,,,
1990-12-20,,,,,,,
1990-12-21,,,,,,,
1990-12-22,,,,,,,
1990-12-23,,,,,,,
1990-12-24,,,,,,,
1990-12-25,,,,,,,
1990-12-26,,,,,,,
1990-12-27,,,,,,,
1990-12-28,,,,,,,
1990-12-29,,,,,,,
1990-12-30,,,,,,,
1990-12-31,,,,,,,
1991-01-01,,,,,,,
1991-01-02,,,,,,,
1991-01-03,,,,,,,
1991-01-04,,,,,,,
1991-01-05,,,,,,,
1991-01-06,,,,,,,
1991-01-07,,,,,,,
1991-01-08,,,,,,,
1991-01-09,,,,,,,
1991-01-10,,,,,,,
1991-01-11,,,,,,,
1991-01-12,,,,,,,
1991-01-13,,,,,,,
1991-01-14,,,,,,,
1991-01-15,,,,,,,
1991-01-16,,,,,,,
1991-01-17,,,,,,,
1991-01-18,,,,,,,
1991-01-19,,,,,,,
1991-01-20,,,,,,,
1991-01-21,,,,,,,
1991-01-22,,,,,,,
1991-01-23,,,,,,,
1991-01-24,,,,,,,
1991-01-25,,,,,,,
1991-01-26,,,,,,,
1991-01-27,,,,,,,
1991-01-28,,,,,,,
1991-01-29,,,,,,,
1991-01-30,,,,,,,
1991-01-31,,,,,,,
1991-02-01,,,,,,,
1991-02-02,,,,,,,
1991-02-03,,,,,,,
1991-02-04,,,,,,,
1991-02-05,,,,,,,
1991-02-06,,,,,,,
1991-02-07,,,,,,,
1991-02-08,,,,,,,
1991-02-09,,,,,,,
1991-02-10,,,,,,,
1991-02-11,,,,,,,
1991-02-12,,,,,,,
1991-02-13,,,,,,,
1991-02-14,,,,,,,
1991-02-15,,,,,,,
1991-02-16,,,,,,,
1991-02-17,,,,,,,
1991-02-18,,,,,,,
1991-02-19,,,,,,,
1991-02-20,,,,,,,
1991-02-21,,,,,,,
1991-02-22,,,,,,,
1991-02-23,,,,,,,
1991-02-24,,,,,,,
1991-02-25,,,,,,,
1991-02-26,,,,,,,
1991-02-27,,,,,,,
1991-02-28,,,,,,,
1991-03-01,,,,,,,
1991-03-02,,,,,,,
1991-03-03,,,,,,,
1991-03-04,,,,,,,
1991-03-05,,,,,,,
1991-03-06,,,,,,,
1991-03-07,,,,,,,
1991-03-08,,,,,,,
1991-03-09,,,,,,,
1991-03-10,,,,,,,
1991-03-11,,,,,,,
1991-03-12,,,,,,,
1991-03-13,,,,,,,
1991-03-14,,,,,,,
1991-03-15,,,,,,,
1991-03-16,,,,,,,
1991-03-17,,,,,,,
1991-03-18,,,,,,,
1991-03-19,,,,,,,
1991-03-20,,,,,,,
1991-03-21,,,,,,,
1991-03-22,,,,,,,
1991-03-23,,,,,,,
1991-03-24,,,,,,,
1991-03-25,,,,,,,
1991-03-26,,,,,,,
1991-03-27,,,,,,,
1991-03-28,,,,,,,
1991-03-29,,,,,,,
1991-03-30,,,,,,,
1991-03-31,,,,,,,
1991-04-01,,,,,,,
1991-04-02,,,,,,,
1991-04-03,,,,,,,
1991-04-04,,,,,,,
1991-04-05,,,,,,,
1991-04-06,,,,,,,
1991-04-07,,,,,,,
1991-04-08,,,,,,,
1991-04-09,,,,,,,
1991-04-10,,,,,,,
1991-04-11,,,,,,,
1991-04-12,,,,,,,
1991-04-13,,,,,,,
1991-04-14,,,,,,,
1991-04-15,,,,,,,
1991-04-16,,,,,,,
1991-04-17,,,,,,,
1991-04-18,,,,,,,
1991-04-19,,,,,,,
1991-04-20,,,,,,,
1991-04-21,,,,,,,
1991-04-22,,,,,,,
1991-04-23,,,,,,,
1991-04-24,,,,,,,
1991-04-25,,,,,,,
1991-04-26,,,,,,,
1991-04-27,,,,,,,
1991-04-28,,,,,,,
1991-04-29,,,,,,,
1991-04-30,,,,,,,
1991-05-01,,,,,,,
1991-05-02,,,,,,,
1991-05-03,,,,,,,
1991-05-04,,,,,,,
1991-05-05,,,,,,,
1991-05-06,,,,,,,
1991-05-07,,,,,,,
1991-05-08,,,,,,,
1991-05-09,,,,,,,
1991-05-10,,,,,,,
1991-05-11,,,,,,,
1991-05-12,,,,,,,
1991-05-13,,,,,,,
1991-05-14,,,,,,,
1991-05-15,,,,,,,
1991-05-16,,,,,,,
1991-05-17,,,,,,,
1991-05-18,,,,,,,
1991-05-19,,,,,,,
1991-05-20,,,,,,,
1991-05-21,,,,,,,
1991-05-22,,,,,,,
1991-05-23,,,,,,,
1991-05-24,,,,,,,
1991-05-25,,,,,,,
1991-05-26,,,,,,,
1991-05-27,,,,,,,
1991-05-28,,,,,,,
1991-05-29,,,,,,,
1991-05-30,,,,,,,
1991-05-31,,,,,,,
1991-06-01,,,,,,,
1991-06-02,,,,,,,
1991-06-03,,,,,,,
1991-06-04,,,,,,,
1991-06-05,,,,,,,
1991-06-06,,,,,,,
1991-06-07,,,,,,,
1991-06-08,,,,,,,
1991-06-09,,,,,,,
1991-06-10,,,,,,,
1991-06-11,,,,,,,
1991-06-12,,,,,,,
1991-06-13,,,,,,,
1991-06-14,,,,,,,
1991-06-15,,,,,,,
1991-06-16,,,,,,,
1991-06-17,,,,,,,
1991-06-18,,,,,,,
1991-06-19,,,,,,,
1991-06-20,,,,,,,
1991-06-21,,,,,,,
1991-06-22,,,,,,,
1991-06-23,,,,,,,
1991-06-24,,,,,,,
1991-06-25,,,,,,,
1991-06-26,,,,,,,
1991-06-27,,,,,,,
1991-06-28,,,,,,,
1991-06-29,,,,,,,
1991-06-30,,,,,,,
1991-07-01,,,,,,,
1991-07-02,,,,,,,
1991-07-03,,,,,,,
1991-07-04,,,,,,,
1991-07-05,,,,,,,
1991-07-06,,,,,,,
1991-07-07,,,,,,,
1991-07-08,,,,,,,
1991-07-09,,,,,,,
1991-07-10,,,,,,,
1991-07-11,,,,,,,
1991-07-12,,,,,,,
1991-07-13,,,,,,,
1991-07-14,,,,,,,
1991-07-15,,,,,,,
1991-07-16,,,,,,,
1991-07-17,,,,,,,
1991-07-18,,,,,,,
1991-07-19,,,,,,,
1991-07-20,,,,,,,
1991-07-21,,,,,,,
1991-07-22,,,,,,,
1991-07-23,,,,,,,
1991-07-24,,,,,,,
1991-07-25,,,,,,,
1991-07-26,,,,,,,
1991-07-27,,,,,,,
1991-07-28,,,,,,,
1991-07-29,,,,,,,
1991-07-30,,,,,,,
1991-07-31,,,,,,,
1991-08-01,,,,,,,
1991-08-02,,,,,,,
1991-08-03,,,,,,,
1991-08-04,,,,,,,
1991-08-05,,,,,,,
1991-08-06,,,,,,,
1991-08-07,,,,,,,
1991-08-08,,,,,,,
1991-08-09,,,,,,,
1991-08-10,,,,,,,
1991-08-11,,,,,,,
1991-08-12,,,,,,,
1991-08-13,,,,,,,
1991-08-14,,,,,,,
1991-08-15,,,,,,,
1991-08-16,,,,,,,
1991-08-17,,,,,,,
1991-08-18,,,,,,,
1991-08-19,,,,,,,
1991-08-20,,,,,,,
1991-08-21,,,,,,,
1991-08-22,,,,,,,
1991-08-23,,,,,,,
1991-08-24,,,,,,,
1991-08-25,,,,,,,
1991-08-26,,,,,,,
1991-08-27,,,,,,,
1991-08-28,,,,,,,
1991-08-29,,,,,,,
1991-08-30,,,,,,,
1991-08-31,,,,,,,
1991-09-01,,,,,,,
1991-09-02,,,,,,,
1991-09-03,,,,,,,
1991-09-04,,,,,,,
1991-09-05,,,,,,,
1991-09-06,,,,,,,
1991-09-07,,,,,,,
1991-09-08,,,,,,,
1991-09-09,,,,,,,
1991-09-10,,,,,,,
1991-09-11,,,,,,,
1991-09-12,,,,,,,
1991-09-13,,,,,,,
1991-09-14,,,,,,,
1991-09-15,,,,,,,
1991-09-16,,,,,,,
1991-09-17,,,,,,,
1991-09-18,,,,,,,
1991-09-19,,,,,,,
1991-09-20,,,,,,,
1991-09-21,,,,,,,
1991-09-22,,,,,,,
1991-09-23,,,,,,,
1991-09-24,,,,,,,
1991-09-25,,,,,,,
1991-09-26,,,,,,,
1991-09-27,,,,,,,
1991-09-28,,,,,,,
1991-09-29,,,,,,,
1991-09-30,,,,,,,
1991-10-01,,,,,,,
1991-10-02,,,,,,,
1991-10-03,,,,,,,
1991-10-04,,,,,,,
1991-10-05,,,,,,,
1991-10-06,,,,,,,
1991-10-07,,,,,,,
1991-10-08,,,,,,,
1991-10-09,,,,,,,
1991-10-10,,,,,,,
1991-10-11,,,,,,,
1991-10-12,,,,,,,
1991-10-13,,,,,,,
1991-10-14,,,,,,,
1991-10-15,,,,,,,
1991-10-16,,,,,,,
1991-10-17,,,,,,,
1991-10-18,,,,,,,
1991-10-19,,,,,,,
1991-10-20,,,,,,,
1991-10-21,,,,,,,
1991-10-22,,,,,,,
1991-10-23,,,,,,,
1991-10-24,,,,,,,
1991-10-25,,,,,,,
1991-10-26,,,,,,,
1991-10-27,,,,,,,
1991-10-28,,,,,,,
1991-10-29,,,,,,,
1991-10-30,,,,,,,
1991-10-31,,,,,,,
1991-11-01,,,,,,,
1991-11-02,,,,,,,
1991-11-03,,,,,,,
1991-11-04,,,,,,,
1991-11-05,,,,,,,
1991-11-06,,,,,,,
1991-11-07,,,,,,,
1991-11-08,,,,,,,
1991-11-09,,,,,,,
1991-11-10,,,,,,,
1991-11-11,,,,,,,
1991-11-12,,,,,,,
1991-11-13,,,,,,,
1991-11-14,,,,,,,
1991-11-15,,,,,,,
1991-11-16,,,,,,,
1991-11-17,,,,,,,
1991-11-18,,,,,,,
1991-11-19,,,,,,,
1991-11-20,,,,,,,
1991-11-21,,,,,,,
1991-11-22,,,,,,,
1991-11-23,,,,,,,
1991-11-24,,,,,,,
1991-11-25,,,,,,,
1991-11-26,,,,,,,
1991-11-27,,,,,,,
1991-11-28,,,,,,,
1991-11-29,,,,,,,
1991-11-30,,,,,,,
1991-12-01,,,,,,,
1991-12-02,,,,,,,
1991-12-03,,,,,,,
1991-12-04,,,,,,,
1991-12-05,,,,,,,
1991-12-06,,,,,,,
1991-12-07,,,,,,,
1991-12-08,,,,,,,
1991-12-09,,,,,,,
1991-12-10,,,,,,,
1991-12-11,,,,,,,
1991-12-12,,,,,,,
1991-12-13,,,,,,,
1991-12-14,,,,,,,
1991-12-15,,,,,,,
1991-12-16,,,,,,,
1991-12-17,,,,,,,
1991-12-18,,,,,,,
1991-12-19,,,,,,,
1991-12-20,,,,,,,
1991-12-21,,,,,,,
1991-12-22,,,,,,,
1991-12-23,,,,,,,
1991-12-24,,,,,,,
1991-12-25,,,,,,,
1991-12-26,,,,,,,
1991-12-27,,,,,,,
1991-12-28,,,,,,,
1991-12-29,,,,,,,
1991-12-30,,,,,,,
1991-12-31,,,,,,,
1992-01-01,,,,,,,
1992-01-02,,,,,,,
1992-01-03,,,,,,,
1992-01-04,,,,,,,
1992-01-05,,,,,,,
1992-01-06,,,,,,,
1992-01-07,,,,,,,
1992-01-08,,,,,,,
1992-01-09,,,,,,,
1992-01-10,,,,,,,
1992-01-11,,,,,,,
1992-01-12,,,,,,,
1992-01-13,,,,,,,
1992-01-14,,,,,,,
1992-01-15,,,,,,,
1992-01-16,,,,,,,
1992-01-17,,,,,,,
1992-01-18,,,,,,,
1992-01-19,,,,,,,
1992-01-20,,,,,,,
1992-01-21,,,,,,,
1992-01-22,,,,,,,
1992-01-23,,,,,,,
1992-01-24,,,,,,,
1992-01-25,,,,,,,
1992-01-26,,,,,,,
1992-01-27,,,,,,,
1992-01-28,,,,,,,
1992-01-29,,,,,,,
1992-01-30,,,,,,,
1992-01-31,,,,,,,
1992-02-01,,,,,,,
1992-02-02,,,,,,,
1992-02-03,,,,,,,
1992-02-04,,,,,,,
1992-02-05,,,,,,,
1992-02-06,,,,,,,
1992-02-07,,,,,,,
1992-02-08,,,,,,,
1992-02-09,,,,,,,
1992-02-10,,,,,,,
1992-02-11,,,,,,,
1992-02-12,,,,,,,
1992-02-13,,,,,,,
1992-02-14,,,,,,,
1992-02-15,,,,,,,
1992-02-16,,,,,,,
1992-02-17,,,,,,,
1992-02-18,,,,,,,
1992-02-19,,,,,,,
1992-02-20,,,,,,,
1992-02-21,,,,,,,
1992-02-22,,,,,,,
1992-02-23,,,,,,,
1992-02-24,,,,,,,
1992-02-25,,,,,,,
1992-02-26,,,,,,,
1992-02-27,,,,,,,
1992-02-28,,,,,,,
1992-02-29,,,,,,,
1992-03-01,,,,,,,
1992-03-02,,,,,,,
1992-03-03,,,,,,,
1992-03-04,,,,,,,
1992-03-05,,,,,,,
1992-03-06,,,,,,,
1992-03-07,,,,,,,
1992-03-08,,,,,,,
1992-03-09,,,,,,,
1992-03-10,,,,,,,
1992-03-11,,,,,,,
1992-03-12,,,,,,,
1992-03-13,,,,,,,
1992-03-14,,,,,,,
1992-03-15,,,,,,,
1992-03-16,,,,,,,
1992-03-17,,,,,,,
1992-03-18,,,,,,,
1992-03-19,,,,,,,
1992-03-20,,,,,,,
1992-03-21,,,,,,,
1992-03-22,,,,,,,
1992-03-23,,,,,,,
1992-03-24,,,,,,,
1992-03-25,,,,,,,
1992-03-26,,,,,,,
1992-03-27,,,,,,,
1992-03-28,,,,,,,
1992-03-29,,,,,,,
1992-03-30,,,,,,,
1992-03-31,,,,,,,
1992-04-01,,,,,,,
1992-04-02,,,,,,,
1992-04-03,,,,,,,
1992-04-04,,,,,,,
1992-04-05,,,,,,,
1992-04-06,,,,,,,
1992-04-07,,,,,,,
1992-04-08,,,,,,,
1992-04-09,,,,,,,
1992-04-10,,,,,,,
1992-04-11,,,,,,,
1992-04-12,,,,,,,
1992-04-13,,,,,,,
1992-04-14,,,,,,,
1992-04-15,,,,,,,
1992-04-16,,,,,,,
1992-04-17,,,,,,,
1992-04-18,,,,,,,
1992-04-19,,,,,,,
1992-04-20,,,,,,,
1992-04-21,,,,,,,
1992-04-22,,,,,,,
1992-04-23,,,,,,,
1992-04-24,,,,,,,
1992-04-25,,,,,,,
1992-04-26,,,,,,,
1992-04-27,,,,,,,
1992-04-28,,,,,,,
1992-04-29,,,,,,,
1992-04-30,,,,,,,
1992-05-01,,,,,,,
1992-05-02,,,,,,,
1992-05-03,,,,,,,
1992-05-04,,,,,,,
1992-05-05,,,,,,,
1992-05-06,,,,,,,
1992-05-07,,,,,,,
1992-05-08,,,,,,,
1992-05-09,,,,,,,
1992-05-10,,,,,,,
1992-05-11,,,,,,,
1992-05-12,,,,,,,
1992-05-13,,,,,,,
1992-05-14,,,,,,,
1992-05-15,,,,,,,
1992-05-16,,,,,,,
1992-05-17,,,,,,,
1992-05-18,,,,,,,
1992-05-19,,,,,,,
1992-05-20,,,,,,,
1992-05-21,,,,,,,
1992-05-22,,,,,,,
1992-05-23,,,,,,,
1992-05-24,,,,,,,
1992-05-25,,,,,,,
1992-05-26,,,,,,,
1992-05-27,,,,,,,
1992-05-28,,,,,,,
1992-05-29,,,,,,,
1992-05-30,,,,,,,
1992-05-31,,,,,,,
1992-06-01,,,,,,,
1992-06-02,,,,,,,
1992-06-03,,,,,,,
1992-06-04,,,,,,,
1992-06-05,,,,,,,
1992-06-06,,,,,,,
1992-06-07,,,,,,,
1992-06-08,,,,,,,
1992-06-09,,,,,,,
1992-06-10,,,,,,,
1992-06-11,,,,,,,
1992-06-12,,,,,,,
1992-06-13,,,,,,,
1992-06-14,,,,,,,
1992-06-15,,,,,,,
1992-06-16,,,,,,,
1992-06-17,,,,,,,
1992-06-18,,,,,,,
1992-06-19,,,,,,,
1992-06-20,,,,,,,
1992-06-21,,,,,,,
1992-06-22,,,,,,,
1992-06-23,,,,,,,
1992-06-24,,,,,,,
1992-06-25,,,,,,,
1992-06-26,,,,,,,
1992-06-27,,,,,,,
1992-06-28,,,,,,,
1992-06-29,,,,,,,
1992-06-30,,,,,,,
1992-07-01,,,,,,,
1992-07-02,,,,,,,
1992-07-03,,,,,,,
1992-07-04,,,,,,,
1992-07-05,,,,,,,
1992-07-06,,,,,,,
1992-07-07,,,,,,,
1992-07-08,,,,,,,
1992-07-09,,,,,,,
1992-07-10,,,,,,,
1992-07-11,,,,,,,
1992-07-12,,,,,,,
1992-07-13,,,,,,,
1992-07-14,,,,,,,
1992-07-15,,,,,,,
1992-07-16,,,,,,,
1992-07-17,,,,,,,
1992-07-18,,,,,,,
1992-07-19,,,,,,,
1992-07-20,,,,,,,
1992-07-21,,,,,,,
1992-07-22,,,,,,,
1992-07-23,,,,,,,
1992-07-24,,,,,,,
1992-07-25,,,,,,,
1992-07-26,,,,,,,
1992-07-27,,,,,,,
1992-07-28,,,,,,,
1992-07-29,,,,,,,
1992-07-30,,,,,,,
1992-07-31,,,,,,,
1992-08-01,,,,,,,
1992-08-02,,,,,,,
1992-08-03,,,,,,,
1992-08-04,,,,,,,
1992-08-05,,,,,,,
1992-08-06,,,,,,,
1992-08-07,,,,,,,
1992-08-08,,,,,,,
1992-08-09,,,,,,,
1992-08-10,,,,,,,
1992-08-11,,,,,,,
1992-08-12,,,,,,,
1992-08-13,,,,,,,
1992-08-14,,,,,,,
1992-08-15,,,,,,,
1992-08-16,,,,,,,
1992-08-17,,,,,,,
1992-08-18,,,,,,,
1992-08-19,,,,,,,
1992-08-20,,,,,,,
1992-08-21,,,,,,,
1992-08-22,,,,,,,
1992-08-23,,,,,,,
1992-08-24,,,,,,,
1992-08-25,,,,,,,
1992-08-26,,,,,,,
1992-08-27,,,,,,,
1992-08-28,,,,,,,
1992-08-29,,,,,,,
1992-08-30,,,,,,,
1992-08-31,,,,,,,
1992-09-01,,,,,,,
1992-09-02,,,,,,,
1992-09-03,,,,,,,
1992-09-04,,,,,,,
1992-09-05,,,,,,,
1992-09-06,,,,,,,
1992-09-07,,,,,,,
1992-09-08,,,,,,,
1992-09-09,,,,,,,
1992-09-10,,,,,,,
1992-09-11,,,,,,,
1992-09-12,,,,,,,
